Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,10u,C_0603_1608Metric,93.08125,-120.76,-90.0,top
C4,100n,C_0402_1005Metric,94.28125,-121.36,-90.0,top
C5,10u,C_0603_1608Metric,97.68125,-120.86,-90.0,top
C6,1u,C_0603_1608Metric,99.18125,-120.86,-90.0,top
C7,100n,C_0402_1005Metric,96.48125,-121.36,-90.0,top
J1,RJ45_LED_Shielded,RJ45_Amphenol_RJHSE538X,110.184,-138.387501,180.0,top
J2,RJ45_LED_Shielded,RJ45_Amphenol_RJHSE538X,90.536,-138.4075,180.0,top
J3,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,110.41,-115.245,0.0,top
J4,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,95.74,-115.24,0.0,top
J5,VCC_IN,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,131.35,-134.405001,180.0,top
R1,1k,R_0402_1005Metric,107.6,-131.1,0.0,top
R10,22R,R_0402_1005Metric,90.64125,-125.8825,0.0,top
R11,22R,R_0402_1005Metric,90.65125,-126.8825,180.0,top
R12,22R,R_0402_1005Metric,90.65125,-127.9825,0.0,top
R13,0R,R_0603_1608Metric,87.875,-130.3,0.0,top
R14,0R,R_0603_1608Metric,87.875,-128.7725,0.0,top
R17,1k,R_0402_1005Metric,94.509999,-131.25,0.0,top
R18,1k,R_0402_1005Metric,105.7,-131.1,180.0,top
R2,120R,R_0603_1608Metric,113.6,-122.3,90.0,top
R3,120R,R_0603_1608Metric,112.0,-122.3,90.0,top
R4,1k,R_0402_1005Metric,90.4,-131.180001,180.0,top
R5,0R,R_0603_1608Metric,110.41,-122.27,90.0,top
R6,0R,R_0603_1608Metric,106.850001,-122.3,-90.0,top
R7,0R,R_0603_1608Metric,108.870001,-122.27,90.0,top
R8,0R,R_0603_1608Metric,105.3,-122.3,-90.0,top
R9,22R,R_0402_1005Metric,90.65125,-124.8825,0.0,top
SW1,SW_DIP_x02,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,120.84,-119.39,-90.0,top
U1,CH334R,QSOP-16_3.9x4.9mm_P0.635mm,95.64125,-125.0825,0.0,top
Y1,12Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,101.67125,-123.050001,90.0,top
